OppName,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,COVID_Limit,Rain,City,State,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,UNC_Game,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,First_Game,First_Home_Game,Win_Streak,New_Coach,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Future_Game,Rennovated
Georgia Tech,10.2,5.1,5.1,-2.6,16,8.3,Grass,9,26,2015,Sat,12,Home,W,34,20,14,20101,59.22335818,NA,FALSE,,Durham,NC,ESPN2,FALSE,NA,20,NA,FALSE,TRUE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1,2,2,3,FALSE,FALSE
Boston College,1.5,5.1,-3.6,-2.6,6,-1.7,Grass,10,3,2015,Sat,15.5,Home,W,9,7,2,20009,58.95229958,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,2,3,3,FALSE,FALSE
Army,-14.9,5.1,-20,-2.6,-14.1,-21.8,Turf,10,10,2015,Sat,12,Away,W,44,3,41,39712,100,NA,FALSE,,West Point,NY,CBSSN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,2,FALSE,2,2,3,4,FALSE,FALSE
Virginia Tech,9.5,5.1,4.4,-2.6,7.9,0.2,Grass,10,24,2015,Sat,15.5,Away,W,45,43,2,63257,96,NA,FALSE,,Blacksburg,VA,ESPNU,FALSE,23,NA,NA,TRUE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,3,FALSE,2,3,3,4,FALSE,FALSE
Miami (Fla.),6.4,5.1,1.3,-2.6,10.8,3.1,Grass,10,31,2015,Sat,19,Home,L,27,30,-3,30143,88.80999381,NA,FALSE,,Durham,NC,ESPNU,FALSE,22,NA,NA,TRUE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,FALSE
North Carolina,17,5.1,11.9,-2.6,4.4,-3.3,Grass,11,7,2015,Sat,12,Away,L,31,66,-35,60000,100,NA,FALSE,,Chapel Hill,NC,ESPN2,FALSE,NA,NA,15,FALSE,FALSE,TRUE,,FALSE,,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,FALSE
Pittsburgh,8.4,5.1,3.3,-2.6,7.2,-0.5,Grass,11,14,2015,Sat,12,Home,L,13,31,-18,30241,89.09873015,NA,FALSE,,Durham,NC,ESPNN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,1,2,3,FALSE,FALSE
Virginia,2.1,5.1,-3,-2.6,6.9,-0.8,Grass,11,21,2015,Sat,15.5,Away,L,34,42,-8,35178,57,NA,FALSE,,Charlottesville,VA,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,1,2,FALSE,FALSE
Wake Forest,-3.4,5.1,-8.5,-2.6,-10.4,-18.1,Turf,11,28,2015,Sat,12.5,Away,W,27,21,6,26435,84,NA,FALSE,,Winston-Salem,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,0,1,FALSE,FALSE
Indiana,1.7,5.1,-3.4,-2.6,-0.8,-8.5,Grass,12,26,2015,Sat,15.5,Neutral,W,44,41,3,37218,69,NA,FALSE,,Bronx,NY,ABC,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,FALSE,1,1,1,1,FALSE,FALSE
N.C. Central,NA,1.6,NA,-3.5,NA,NA,Grass,9,3,2016,Sat,18,Home,W,49,6,43,35049,87.61373863,0.988,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,TRUE,2,FALSE,2,2,2,2,FALSE,TRUE
Wake Forest,2.2,1.6,0.6,-3.5,-3.4,-8.5,Grass,9,10,2016,Sat,15.5,Home,L,14,24,-10,21077,52.68723128,0.734,FALSE,,Durham,NC,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,2,3,3,3,FALSE,TRUE
Northwestern,8,1.6,6.4,-3.5,4.8,-0.3,Grass,9,17,2016,Sat,20,Away,L,13,24,-11,34464,73,0.357,FALSE,,Evanston,IL,BTN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,2,3,3,FALSE,TRUE
Notre Dame,9.7,1.6,8.1,-3.5,19.1,14,Grass,9,24,2016,Sat,15.5,Away,W,38,35,3,80795,100,0.104,FALSE,,Notre Dame,IL,NBC,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,1,2,3,FALSE,TRUE
Virginia,-4.2,1.6,-5.8,-3.5,2.1,-3,Grass,10,1,2016,Sat,12.5,Home,L,20,34,-14,25201,62.99620038,0.714,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,1,1,2,3,FALSE,TRUE
Army,-2,1.6,-3.6,-3.5,-14.9,-20,Grass,10,8,2016,Sat,15.5,Home,W,13,6,7,20613,51.52734727,NA,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1,1,1,2,FALSE,TRUE
Louisville,21.6,1.6,20,-3.5,10.3,5.2,Turf,10,14,2016,Fri,19,Away,L,14,24,-10,55121,92,0.022,FALSE,,Louisville,KY,ESPN,FALSE,NA,7,15,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,FALSE,1,2,2,2,FALSE,TRUE
Georgia Tech,7.4,1.6,5.8,-3.5,10.2,5.1,Grass,10,29,2016,Sat,12,Away,L,35,38,-3,43886,80,0.315,FALSE,,Atlanta,GA,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,1,2,2,FALSE,TRUE
Virginia Tech,13.7,1.6,12.1,-3.5,9.5,4.4,Grass,11,5,2016,Sat,15.5,Home,L,21,24,-3,38217,95.53294671,0.27,FALSE,,Durham,NC,ESPNU,FALSE,NA,19,18,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,1,1,2,FALSE,TRUE
North Carolina,14,1.6,12.4,-3.5,17,11.9,Grass,11,10,2016,Thu,19.5,Home,W,28,27,1,39212,98.02019798,0.229,FALSE,,Durham,NC,ESPN,FALSE,NA,17,NA,FALSE,TRUE,FALSE,,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,0,1,1,FALSE,TRUE
Pittsburgh,12.7,1.6,11.1,-3.5,8.4,3.3,Grass,11,19,2016,Sat,15,Away,L,14,56,-42,35425,52,0.167,FALSE,,Pittsburgh,PA,ACCNX,FALSE,NA,NA,22,FALSE,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,FALSE,1,1,1,2,FALSE,TRUE
Miami (Fla.),17.2,1.6,15.6,-3.5,6.4,1.3,Grass,11,26,2016,Sat,15.5,Away,L,21,40,-19,57396,88,0.103,FALSE,,Miami Gardens,FL,ESPN2,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,1,1,1,FALSE,TRUE
N.C. Central,NA,6.6,NA,5,NA,NA,Grass,9,2,2017,Sat,18,Home,W,60,7,53,30477,76.18488151,0.988,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,TRUE,0,FALSE,0,1,1,1,FALSE,TRUE
Northwestern,9.9,6.6,3.3,5,8,6.4,Grass,9,9,2017,Sat,12,Home,W,41,17,24,20241,50.59744026,0.551,FALSE,,Durham,NC,ESPNU,FALSE,NA,NA,17,FALSE,FALSE,TRUE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,1,2,2,FALSE,TRUE
Baylor,-4.3,6.6,-10.9,5,8.9,7.3,Grass,9,16,2017,Sat,12.5,Home,W,34,20,14,26714,66.77832217,0.742,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,2,2,2,3,FALSE,TRUE
North Carolina,0.9,6.6,-5.7,5,14,12.4,Grass,9,23,2017,Sat,15.5,Away,W,27,17,10,59000,100,0.515,FALSE,,Chapel Hill,NC,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,TRUE,TRUE,TRUE,FALSE,,FALSE,FALSE,3,FALSE,2,3,3,3,FALSE,TRUE
Miami (Fla.),13.5,6.6,6.9,5,17.2,15.6,Grass,9,29,2017,Fri,19,Home,L,6,31,-25,36314,90.77592241,0.567,FALSE,,Durham,NC,ESPN,FALSE,NA,14,13,FALSE,TRUE,TRUE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,TRUE
Virginia,-3.3,6.6,-9.9,5,-4.2,-5.8,Grass,10,7,2017,Sat,12.333,Away,L,21,28,-7,38638,63,0.684,FALSE,,Charlottesville,VA,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,TRUE
Florida St.,13.3,6.6,6.7,5,22.2,20.6,Grass,10,14,2017,Sat,12,Home,L,10,17,-7,31073,77.67473253,0.278,FALSE,,Durham,NC,ESPN2,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,1,2,3,FALSE,TRUE
Pittsburgh,1.8,6.6,-4.8,5,12.7,11.1,Grass,10,21,2017,Sat,12.333,Home,L,17,24,-7,22621,56.54684532,0.758,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,0,1,2,FALSE,TRUE
Virginia Tech,13.4,6.6,6.8,5,13.7,12.1,Grass,10,28,2017,Sat,19.333,Away,L,3,24,-21,60914,93,0.124,FALSE,,Blacksburg,VA,ACCNX,FALSE,NA,13,24,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,0,1,FALSE,TRUE
Army,0.7,6.6,-5.9,5,-2,-3.6,Turf,11,11,2017,Sat,12,Away,L,16,21,-5,38851,100,0.603,FALSE,,West Point,NY,CBSSN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,0,0,FALSE,TRUE
Georgia Tech,7.6,6.6,1,5,7.4,5.8,Grass,11,18,2017,Sat,15.5,Home,W,43,20,23,20141,50.34746525,0.33,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,0,0,0,FALSE,TRUE
Wake Forest,8.9,6.6,2.3,5,2.2,0.6,Turf,11,25,2017,Sat,12.5,Away,W,31,23,8,27016,86,0.237,FALSE,,Winston-Salem,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,FALSE,1,1,1,1,FALSE,TRUE
Northern Ill.,-3.3,6.6,-9.9,5,-3.4,-5,Turf,12,26,2017,Tue,17.25,Neutral,W,36,14,22,20211,31,0.676,FALSE,,Detroit,MI,ESPN,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,2,FALSE,2,2,2,2,FALSE,TRUE
Army,3.1,6.4,-3.3,-0.2,0.7,-5.9,Grass,8,31,2018,Fri,19,Home,W,34,14,20,26017,65.0359964,0.939,FALSE,,Durham,NC,ESPNU,FALSE,NA,NA,19,FALSE,FALSE,TRUE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,TRUE,3,FALSE,2,3,3,3,FALSE,TRUE
Northwestern,7.7,6.4,1.3,-0.2,9.9,3.3,Grass,9,8,2018,Sat,12,Away,W,21,7,14,40654,86,0.273,FALSE,,Evanston,IL,ESPNU,FALSE,NA,NA,21,FALSE,FALSE,TRUE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,TRUE
Baylor,2.5,6.4,-3.9,-0.2,-4.3,-10.9,Turf,9,15,2018,Sat,15.5,Away,W,40,27,13,40442,90,0.594,FALSE,,Waco,TX,FS1,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,5,FALSE,2,3,4,5,FALSE,TRUE
N.C. Central,NA,6.4,NA,-0.2,NA,NA,Grass,9,22,2018,Sat,15.5,Home,W,55,13,42,25132,62.82371763,0.997,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,FALSE,2,3,4,5,FALSE,TRUE
Virginia Tech,3.4,6.4,-3,-0.2,13.4,6.8,Grass,9,29,2018,Sat,19,Home,L,14,31,-17,32177,80.43445655,0.684,FALSE,,Durham,NC,ESPN2,FALSE,22,NA,NA,TRUE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,FALSE,2,3,4,5,FALSE,TRUE
Georgia Tech,6.9,6.4,0.5,-0.2,7.6,1,Grass,10,13,2018,Sat,12.333,Away,W,28,14,14,41709,76,0.548,FALSE,,Atlanta,GA,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,TRUE
Virginia,6.4,6.4,0,-0.2,-3.3,-9.9,Grass,10,20,2018,Sat,12.5,Home,L,14,28,-14,20277,50.68743126,0.713,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,1,2,3,4,FALSE,TRUE
Pittsburgh,4.8,6.4,-1.6,-0.2,1.8,-4.8,Grass,10,27,2018,Sat,15.5,Away,L,45,54,-9,NA,NA,0.617,FALSE,,Pittsburgh,PA,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,1,2,3,FALSE,TRUE
Miami (Fla.),11.2,6.4,4.8,-0.2,13.5,6.9,Grass,11,3,2018,Sat,19,Away,W,20,12,8,62754,97,0.267,FALSE,,Miami Gardens,FL,ESPN2,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,1,1,2,FALSE,TRUE
North Carolina,-2.6,6.4,-9,-0.2,0.9,-5.7,Grass,11,10,2018,Sat,12.333,Home,W,42,35,7,35493,88.72362764,0.794,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,1,1,2,2,FALSE,TRUE
Clemson,32.7,6.4,26.3,-0.2,24.2,17.6,Grass,11,17,2018,Sat,19,Away,L,6,35,-29,81313,100,0.048,FALSE,,Clemson,SC,ESPN,FALSE,NA,2,1,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,2,FALSE,2,2,2,3,FALSE,TRUE
Wake Forest,2.7,6.4,-3.7,-0.2,8.9,2.3,Grass,11,24,2018,Sat,12.5,Home,L,7,59,-52,20782,51.94980502,0.732,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,1,2,2,2,FALSE,TRUE
Temple,1.1,6.4,-5.3,-0.2,-3.9,-10.5,Turf,12,27,2018,Thu,13.5,Neutral,W,56,27,29,27492,53,0.54,FALSE,,Shreveport,LA,ESPN,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,1,2,2,FALSE,TRUE
Alabama,29.4,-0.3,29.7,-6.7,30.1,23.7,Turf,8,31,2019,Sat,15.5,Neutral,L,3,42,-39,71916,96,0.035,FALSE,,Atlanta,GA,ABC,FALSE,NA,2,8,FALSE,TRUE,TRUE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,1,FALSE,1,1,2,3,FALSE,TRUE
N.C. A&T,NA,-0.3,NA,-6.7,NA,NA,Grass,9,7,2019,Sat,18,Home,W,45,13,32,38313,95.77292271,0.937,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,TRUE,,FALSE,TRUE,0,FALSE,1,1,1,2,FALSE,TRUE
Middle Tenn. St.,-8.7,-0.3,-8.4,-6.7,-3.7,-10.1,Turf,9,14,2019,Sat,19,Away,W,41,18,23,19582,64,0.604,FALSE,,Murfreesboro,TN,Unknown,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,1,FALSE,1,2,2,2,FALSE,TRUE
Virginia Tech,4.5,-0.3,4.8,-6.7,3.4,-3,Grass,9,27,2019,Fri,19,Away,W,45,10,35,59537,91,0.491,FALSE,,Blacksburg,VA,ESPN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,2,FALSE,2,2,3,3,FALSE,TRUE
Pittsburgh,0.3,-0.3,0.6,-6.7,4.8,-1.6,Grass,10,5,2019,Sat,20,Home,L,30,33,-3,22610,56.51934807,0.718,FALSE,,Durham,NC,ACCN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,2,3,3,4,FALSE,TRUE
Georgia Tech,-10.8,-0.3,-10.5,-6.7,6.9,0.5,Grass,10,12,2019,Sat,12.5,Home,W,41,23,18,21741,54.34706529,NA,FALSE,,Durham,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1,2,3,3,FALSE,TRUE
Virginia,6.6,-0.3,6.9,-6.7,6.4,0,Grass,10,19,2019,Sat,15.5,Away,L,14,48,-34,52847,86,0.426,FALSE,,Charlottesville,VA,ACCN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,FALSE,1,2,3,4,FALSE,TRUE
North Carolina,8.4,-0.3,8.7,-6.7,-2.6,-9,Grass,10,26,2019,Sat,16,Away,L,17,20,-3,50500,99,0.448,FALSE,,Chapel Hill,NC,ACCNX,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,1,2,3,FALSE,TRUE
Notre Dame,20.9,-0.3,21.2,-6.7,19.3,12.9,Grass,11,9,2019,Sat,19.5,Home,L,7,38,-31,40004,100,0.291,FALSE,,Durham,NC,ACCN,FALSE,NA,15,12,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,1,1,2,FALSE,TRUE
Syracuse,-1.6,-0.3,-1.3,-6.7,10.8,4.4,Grass,11,16,2019,Sat,16,Home,L,6,49,-43,16286,40.71092891,0.753,FALSE,,Durham,NC,ACCN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,0,1,1,FALSE,TRUE
