OppName,FPI,FPI_diff,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,Rain,1stSeedQB,SchoolBreak,NatlHoliday,TV_Coverage,City,State,Bowl,UNC_Game,Type,Attempts,Yards,AvgYd,TD_Gained,Comp,CompPct,Int,Rating,Touchbacks,TouchbackPct,OutOfBounds,Onside,Fumbles
Virginia Tech,-6.2,-11.5,Grass,11,12,2022,Sat,12,Home,W,24,7,17,20857,0.52,0.795,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Kickoff_Returns,1,9,9,0,,,,,,,,,
Pittsburgh,7.9,2.6,Grass,11,19,2022,Sat,12,Away,L,26,28,-2,45362,0.66,0.299,FALSE,TRUE,FALSE,FALSE,ACCN,Pittsburgh,PA,FALSE,FALSE,Kickoff_Returns,3,44,14.66666667,0,,,,,,,,,
Wake Forest,7.6,2.3,Grass,11,26,2022,Sat,15.5,Home,W,34,31,3,17492,0.44,0.492,FALSE,TRUE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Kickoff_Returns,5,117,23.4,0,,,,,,,,,
UCF,6.9,1.6,Turf,12,28,2022,Wed,14,Neutral,W,30,13,17,17974,0.53,0.411,FALSE,TRUE,TRUE,FALSE,ESPN,Annapolis,MD,TRUE,FALSE,Kickoff_Returns,1,22,22,0,,,,,,,,,
Clemson,13.8,4.8,Grass,9,4,2023,Mon,20,Home,W,28,7,21,31638,0.79,0.872,FALSE,TRUE,TRUE,TRUE,ESPN,Durham,NC,FALSE,FALSE,Punts,5,268,53.6,,,,,,,,,,
Lafayette,,,Grass,9,9,2023,Sat,18,Home,W,42,7,35,17481,0.44,0.993,TRUE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Punts,0,0,,,,,,,,,,,
Northwestern,0.8,-8.2,Grass,9,16,2023,Sat,15.5,Home,W,38,14,24,18141,0.45,0.698,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punts,1,53,53,,,,,,,,,,
Connecticut,-15.9,-24.9,Grass,9,23,2023,Sat,15.5,Away,W,41,7,34,29033,0.73,0.928,TRUE,TRUE,FALSE,FALSE,CBSSN,East Hartford,CT,FALSE,FALSE,Punts,4,197,49.25,,,,,,,,,,
Notre Dame,20.7,11.7,Grass,9,30,2023,Sat,19.5,Home,L,14,21,-7,40768,1,0.3,FALSE,TRUE,FALSE,FALSE,ABC,Durham,NC,FALSE,FALSE,Punts,6,227,37.83333333,,,,,,,,,,
North Carolina St.,6.9,-2.1,Grass,10,14,2023,Sat,20,Home,W,24,3,21,31833,0.8,0.774,TRUE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punts,6,267,44.5,,,,,,,,,,
Florida St.,19.8,10.8,Grass,10,21,2023,Sat,19.5,Away,L,20,38,-18,79560,1,0.19,FALSE,TRUE,FALSE,FALSE,ABC,Tallahassee,FL,FALSE,FALSE,Punts,3,172,57.33333333,,,,,,,,,,
Louisville,11.4,2.4,Turf,10,28,2023,Sat,15.5,Away,L,0,23,-23,52319,0.87,0.482,TRUE,TRUE,FALSE,FALSE,ESPN,Louisville,KY,FALSE,FALSE,Punts,7,334,47.71428571,,,,,,,,,,
Wake Forest,-1.7,-10.7,Grass,11,2,2023,Thu,19.5,Home,W,24,21,3,18277,0.46,0.812,FALSE,FALSE,FALSE,FALSE,ESPN,Durham,NC,FALSE,FALSE,Punts,7,318,45.42857143,,,,,,,,,,
North Carolina,10.2,1.2,Turf,11,11,2023,Sat,20,Away,L,45,47,-2,50500,0.99,0.36,FALSE,FALSE,FALSE,FALSE,ACCN,Chapel Hill,NC,FALSE,TRUE,Punts,5,197,39.4,,,,,,,,,,
Virginia,-5.3,-14.3,Grass,11,18,2023,Sat,15,Away,L,27,30,-3,36400,0.59,0.798,FALSE,FALSE,FALSE,FALSE,CW,Charlottesville,VA,FALSE,FALSE,Punts,4,177,44.25,,,,,,,,,,
Pittsburgh,-0.5,-9.5,Grass,11,25,2023,Sat,12,Home,W,30,19,11,17639,0.44,0.788,FALSE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punts,3,149,49.66666667,,,,,,,,,,
Troy,5.9,-3.1,Turf,12,23,2023,Sat,11,Neutral,W,17,10,7,20023,0.43,0.565,FALSE,FALSE,TRUE,FALSE,ABC,Birmingham,AL,TRUE,FALSE,Punts,4,188,47,,,,,,,,,,
Temple,-11.8,-17.1,Grass,9,2,2022,Fri,19.5,Home,W,30,0,30,20722,0.52,0.771,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punts,2,98,49,,,,,,,,,,
Northwestern,-7.6,-12.9,Grass,9,10,2022,Sat,12,Away,W,31,23,8,24622,0.52,0.313,FALSE,TRUE,FALSE,FALSE,FS1,Evanston,IL,FALSE,FALSE,Punts,4,188,47,,,,,,,,,,
N.C. A&T,,-5.3,Grass,9,17,2022,Sat,18,Home,W,49,20,29,32802,0.82,,FALSE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Punts,1,42,42,,,,,,,,,,
Kansas,3.4,-1.9,Turf,9,24,2022,Sat,12,Away,L,27,35,-8,47233,1,0.258,FALSE,TRUE,FALSE,FALSE,FS1,Lawrence,KS,FALSE,FALSE,Punts,3,154,51.33333333,,,,,,,,,,
Virginia,-4,-9.3,Grass,10,1,2022,Sat,19.5,Home,W,38,17,21,15152,0.38,0.572,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Punts,3,123,41,,,,,,,,,,
Georgia Tech,-3.5,-8.8,Grass,10,8,2022,Sat,16,Away,L,20,23,-3,32041,0.58,0.542,FALSE,TRUE,TRUE,FALSE,ESPN3,Atlanta,GA,FALSE,FALSE,Punts,4,177,44.25,,,,,,,,,,
North Carolina,6.2,0.9,Grass,10,15,2022,Sat,20,Home,L,35,38,-3,40004,1,0.336,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,TRUE,Punts,2,85,42.5,,,,,,,,,,
Miami (Fla.),-0.5,-5.8,Grass,10,22,2022,Sat,12.5,Away,W,45,21,24,57421,0.88,0.244,FALSE,TRUE,FALSE,FALSE,ESPN3,Miami Gardens,FL,FALSE,FALSE,Punts,5,197,39.4,,,,,,,,,,
Boston College,-7.4,-12.7,Turf,11,4,2022,Fri,19,Away,W,38,31,7,34092,0.77,0.752,FALSE,TRUE,FALSE,FALSE,ESPN2,Chestnut Hill,MA,FALSE,FALSE,Punts,6,246,41,,,,,,,,,,
Virginia Tech,-6.2,-11.5,Grass,11,12,2022,Sat,12,Home,W,24,7,17,20857,0.52,0.795,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Punts,3,136,45.33333333,,,,,,,,,,
Pittsburgh,7.9,2.6,Grass,11,19,2022,Sat,12,Away,L,26,28,-2,45362,0.66,0.299,FALSE,TRUE,FALSE,FALSE,ACCN,Pittsburgh,PA,FALSE,FALSE,Punts,5,183,36.6,,,,,,,,,,
Wake Forest,7.6,2.3,Grass,11,26,2022,Sat,15.5,Home,W,34,31,3,17492,0.44,0.492,FALSE,TRUE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Punts,3,131,43.66666667,,,,,,,,,,
UCF,6.9,1.6,Turf,12,28,2022,Wed,14,Neutral,W,30,13,17,17974,0.53,0.411,FALSE,TRUE,TRUE,FALSE,ESPN,Annapolis,MD,TRUE,FALSE,Punts,4,171,42.75,,,,,,,,,,
Clemson,13.8,4.8,Grass,9,4,2023,Mon,20,Home,W,28,7,21,31638,0.79,0.872,FALSE,TRUE,TRUE,TRUE,ESPN,Durham,NC,FALSE,FALSE,Kickoffs,6,385,64.16666667,,,,,,5,83.33333333,0,0,
Lafayette,,,Grass,9,9,2023,Sat,18,Home,W,42,7,35,17481,0.44,0.993,TRUE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Kickoffs,7,427,61,,,,,,1,14.28571429,0,0,
Northwestern,0.8,-8.2,Grass,9,16,2023,Sat,15.5,Home,W,38,14,24,18141,0.45,0.698,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Kickoffs,7,441,63,,,,,,2,28.57142857,0,0,
Connecticut,-15.9,-24.9,Grass,9,23,2023,Sat,15.5,Away,W,41,7,34,29033,0.73,0.928,TRUE,TRUE,FALSE,FALSE,CBSSN,East Hartford,CT,FALSE,FALSE,Kickoffs,7,435,62.14285714,,,,,,2,28.57142857,0,0,
Notre Dame,20.7,11.7,Grass,9,30,2023,Sat,19.5,Home,L,14,21,-7,40768,1,0.3,FALSE,TRUE,FALSE,FALSE,ABC,Durham,NC,FALSE,FALSE,Kickoffs,3,178,59.33333333,,,,,,0,0,0,0,
North Carolina St.,6.9,-2.1,Grass,10,14,2023,Sat,20,Home,W,24,3,21,31833,0.8,0.774,TRUE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Kickoffs,5,315,63,,,,,,3,60,0,0,
Florida St.,19.8,10.8,Grass,10,21,2023,Sat,19.5,Away,L,20,38,-18,79560,1,0.19,FALSE,TRUE,FALSE,FALSE,ABC,Tallahassee,FL,FALSE,FALSE,Kickoffs,5,324,64.8,,,,,,2,40,0,0,
Louisville,11.4,2.4,Turf,10,28,2023,Sat,15.5,Away,L,0,23,-23,52319,0.87,0.482,TRUE,TRUE,FALSE,FALSE,ESPN,Louisville,KY,FALSE,FALSE,Kickoffs,1,65,65,,,,,,1,100,0,0,
Wake Forest,-1.7,-10.7,Grass,11,2,2023,Thu,19.5,Home,W,24,21,3,18277,0.46,0.812,FALSE,FALSE,FALSE,FALSE,ESPN,Durham,NC,FALSE,FALSE,Kickoffs,4,246,61.5,,,,,,1,25,0,0,
North Carolina,10.2,1.2,Turf,11,11,2023,Sat,20,Away,L,45,47,-2,50500,0.99,0.36,FALSE,FALSE,FALSE,FALSE,ACCN,Chapel Hill,NC,FALSE,TRUE,Kickoffs,5,301,60.2,,,,,,3,60,0,1,
Virginia,-5.3,-14.3,Grass,11,18,2023,Sat,15,Away,L,27,30,-3,36400,0.59,0.798,FALSE,FALSE,FALSE,FALSE,CW,Charlottesville,VA,FALSE,FALSE,Kickoffs,4,237,59.25,,,,,,3,75,0,1,
Pittsburgh,-0.5,-9.5,Grass,11,25,2023,Sat,12,Home,W,30,19,11,17639,0.44,0.788,FALSE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Kickoffs,7,413,59,,,,,,2,28.57142857,0,0,
Troy,5.9,-3.1,Turf,12,23,2023,Sat,11,Neutral,W,17,10,7,20023,0.43,0.565,FALSE,FALSE,TRUE,FALSE,ABC,Birmingham,AL,TRUE,FALSE,Kickoffs,4,257,64.25,,,,,,2,50,0,0,
Temple,-11.8,-17.1,Grass,9,2,2022,Fri,19.5,Home,W,30,0,30,20722,0.52,0.771,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Kickoffs,7,455,65,,,,,,5,71.42857143,0,0,
Northwestern,-7.6,-12.9,Grass,9,10,2022,Sat,12,Away,W,31,23,8,24622,0.52,0.313,FALSE,TRUE,FALSE,FALSE,FS1,Evanston,IL,FALSE,FALSE,Kickoffs,6,387,64.5,,,,,,5,83.33333333,0,0,
N.C. A&T,,-5.3,Grass,9,17,2022,Sat,18,Home,W,49,20,29,32802,0.82,,FALSE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Kickoffs,8,520,65,,,,,,7,87.5,0,0,
Kansas,3.4,-1.9,Turf,9,24,2022,Sat,12,Away,L,27,35,-8,47233,1,0.258,FALSE,TRUE,FALSE,FALSE,FS1,Lawrence,KS,FALSE,FALSE,Kickoffs,5,325,65,,,,,,5,100,0,1,
Virginia,-4,-9.3,Grass,10,1,2022,Sat,19.5,Home,W,38,17,21,15152,0.38,0.572,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Kickoffs,7,433,61.85714286,,,,,,3,42.85714286,0,0,
Georgia Tech,-3.5,-8.8,Grass,10,8,2022,Sat,16,Away,L,20,23,-3,32041,0.58,0.542,FALSE,TRUE,TRUE,FALSE,ESPN3,Atlanta,GA,FALSE,FALSE,Kickoffs,5,321,64.2,,,,,,4,80,0,0,
North Carolina,6.2,0.9,Grass,10,15,2022,Sat,20,Home,L,35,38,-3,40004,1,0.336,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,TRUE,Kickoffs,6,385,64.16666667,,,,,,4,66.66666667,0,0,
Miami (Fla.),-0.5,-5.8,Grass,10,22,2022,Sat,12.5,Away,W,45,21,24,57421,0.88,0.244,FALSE,TRUE,FALSE,FALSE,ESPN3,Miami Gardens,FL,FALSE,FALSE,Kickoffs,8,472,59,,,,,,0,0,0,0,
Boston College,-7.4,-12.7,Turf,11,4,2022,Fri,19,Away,W,38,31,7,34092,0.77,0.752,FALSE,TRUE,FALSE,FALSE,ESPN2,Chestnut Hill,MA,FALSE,FALSE,Kickoffs,7,430,61.42857143,,,,,,2,28.57142857,0,0,
Virginia Tech,-6.2,-11.5,Grass,11,12,2022,Sat,12,Home,W,24,7,17,20857,0.52,0.795,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Kickoffs,5,303,60.6,,,,,,2,40,1,0,
Pittsburgh,7.9,2.6,Grass,11,19,2022,Sat,12,Away,L,26,28,-2,45362,0.66,0.299,FALSE,TRUE,FALSE,FALSE,ACCN,Pittsburgh,PA,FALSE,FALSE,Kickoffs,4,207,51.75,,,,,,1,25,0,1,
Wake Forest,7.6,2.3,Grass,11,26,2022,Sat,15.5,Home,W,34,31,3,17492,0.44,0.492,FALSE,TRUE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Kickoffs,7,453,64.71428571,,,,,,4,57.14285714,0,0,
UCF,6.9,1.6,Turf,12,28,2022,Wed,14,Neutral,W,30,13,17,17974,0.53,0.411,FALSE,TRUE,TRUE,FALSE,ESPN,Annapolis,MD,TRUE,FALSE,Kickoffs,6,357,59.5,,,,,,3,50,0,0,
Clemson,13.8,4.8,Grass,9,4,2023,Mon,20,Home,W,28,7,21,31638,0.79,0.872,FALSE,TRUE,TRUE,TRUE,ESPN,Durham,NC,FALSE,FALSE,Field_Goals,2,,,,2,100,,,,,,,
Lafayette,,,Grass,9,9,2023,Sat,18,Home,W,42,7,35,17481,0.44,0.993,TRUE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Field_Goals,1,,,,0,0,,,,,,,
Northwestern,0.8,-8.2,Grass,9,16,2023,Sat,15.5,Home,W,38,14,24,18141,0.45,0.698,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Field_Goals,1,,,,1,100,,,,,,,
Connecticut,-15.9,-24.9,Grass,9,23,2023,Sat,15.5,Away,W,41,7,34,29033,0.73,0.928,TRUE,TRUE,FALSE,FALSE,CBSSN,East Hartford,CT,FALSE,FALSE,Field_Goals,3,,,,2,66.66666667,,,,,,,
Notre Dame,20.7,11.7,Grass,9,30,2023,Sat,19.5,Home,L,14,21,-7,40768,1,0.3,FALSE,TRUE,FALSE,FALSE,ABC,Durham,NC,FALSE,FALSE,Field_Goals,2,,,,0,0,,,,,,,
North Carolina St.,6.9,-2.1,Grass,10,14,2023,Sat,20,Home,W,24,3,21,31833,0.8,0.774,TRUE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Field_Goals,1,,,,1,100,,,,,,,
Florida St.,19.8,10.8,Grass,10,21,2023,Sat,19.5,Away,L,20,38,-18,79560,1,0.19,FALSE,TRUE,FALSE,FALSE,ABC,Tallahassee,FL,FALSE,FALSE,Field_Goals,2,,,,2,100,,,,,,,
Louisville,11.4,2.4,Turf,10,28,2023,Sat,15.5,Away,L,0,23,-23,52319,0.87,0.482,TRUE,TRUE,FALSE,FALSE,ESPN,Louisville,KY,FALSE,FALSE,Field_Goals,0,,,,0,,,,,,,,
Wake Forest,-1.7,-10.7,Grass,11,2,2023,Thu,19.5,Home,W,24,21,3,18277,0.46,0.812,FALSE,FALSE,FALSE,FALSE,ESPN,Durham,NC,FALSE,FALSE,Field_Goals,1,,,,1,100,,,,,,,
North Carolina,10.2,1.2,Turf,11,11,2023,Sat,20,Away,L,45,47,-2,50500,0.99,0.36,FALSE,FALSE,FALSE,FALSE,ACCN,Chapel Hill,NC,FALSE,TRUE,Field_Goals,1,,,,1,100,,,,,,,
Virginia,-5.3,-14.3,Grass,11,18,2023,Sat,15,Away,L,27,30,-3,36400,0.59,0.798,FALSE,FALSE,FALSE,FALSE,CW,Charlottesville,VA,FALSE,FALSE,Field_Goals,3,,,,2,66.66666667,,,,,,,
Pittsburgh,-0.5,-9.5,Grass,11,25,2023,Sat,12,Home,W,30,19,11,17639,0.44,0.788,FALSE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Field_Goals,3,,,,3,100,,,,,,,
Troy,5.9,-3.1,Turf,12,23,2023,Sat,11,Neutral,W,17,10,7,20023,0.43,0.565,FALSE,FALSE,TRUE,FALSE,ABC,Birmingham,AL,TRUE,FALSE,Field_Goals,3,,,,3,100,,,,,,,
Temple,-11.8,-17.1,Grass,9,2,2022,Fri,19.5,Home,W,30,0,30,20722,0.52,0.771,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Field_Goals,6,,,,3,50,,,,,,,
Northwestern,-7.6,-12.9,Grass,9,10,2022,Sat,12,Away,W,31,23,8,24622,0.52,0.313,FALSE,TRUE,FALSE,FALSE,FS1,Evanston,IL,FALSE,FALSE,Field_Goals,2,,,,1,50,,,,,,,
N.C. A&T,,-5.3,Grass,9,17,2022,Sat,18,Home,W,49,20,29,32802,0.82,,FALSE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Field_Goals,0,,,,0,,,,,,,,
Kansas,3.4,-1.9,Turf,9,24,2022,Sat,12,Away,L,27,35,-8,47233,1,0.258,FALSE,TRUE,FALSE,FALSE,FS1,Lawrence,KS,FALSE,FALSE,Field_Goals,2,,,,2,100,,,,,,,
Virginia,-4,-9.3,Grass,10,1,2022,Sat,19.5,Home,W,38,17,21,15152,0.38,0.572,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Field_Goals,1,,,,1,100,,,,,,,
Georgia Tech,-3.5,-8.8,Grass,10,8,2022,Sat,16,Away,L,20,23,-3,32041,0.58,0.542,FALSE,TRUE,TRUE,FALSE,ESPN3,Atlanta,GA,FALSE,FALSE,Field_Goals,3,,,,2,66.66666667,,,,,,,
North Carolina,6.2,0.9,Grass,10,15,2022,Sat,20,Home,L,35,38,-3,40004,1,0.336,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,TRUE,Field_Goals,1,,,,0,0,,,,,,,
Miami (Fla.),-0.5,-5.8,Grass,10,22,2022,Sat,12.5,Away,W,45,21,24,57421,0.88,0.244,FALSE,TRUE,FALSE,FALSE,ESPN3,Miami Gardens,FL,FALSE,FALSE,Field_Goals,1,,,,1,100,,,,,,,
Boston College,-7.4,-12.7,Turf,11,4,2022,Fri,19,Away,W,38,31,7,34092,0.77,0.752,FALSE,TRUE,FALSE,FALSE,ESPN2,Chestnut Hill,MA,FALSE,FALSE,Field_Goals,1,,,,1,100,,,,,,,
Virginia Tech,-6.2,-11.5,Grass,11,12,2022,Sat,12,Home,W,24,7,17,20857,0.52,0.795,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Field_Goals,2,,,,1,50,,,,,,,
Pittsburgh,7.9,2.6,Grass,11,19,2022,Sat,12,Away,L,26,28,-2,45362,0.66,0.299,FALSE,TRUE,FALSE,FALSE,ACCN,Pittsburgh,PA,FALSE,FALSE,Field_Goals,0,,,,0,,,,,,,,
Wake Forest,7.6,2.3,Grass,11,26,2022,Sat,15.5,Home,W,34,31,3,17492,0.44,0.492,FALSE,TRUE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Field_Goals,2,,,,2,100,,,,,,,
UCF,6.9,1.6,Turf,12,28,2022,Wed,14,Neutral,W,30,13,17,17974,0.53,0.411,FALSE,TRUE,TRUE,FALSE,ESPN,Annapolis,MD,TRUE,FALSE,Field_Goals,3,,,,3,100,,,,,,,
Clemson,13.8,4.8,Grass,9,4,2023,Mon,20,Home,W,28,7,21,31638,0.79,0.872,FALSE,TRUE,TRUE,TRUE,ESPN,Durham,NC,FALSE,FALSE,Extra_Point,2,,,,2,100,,,,,,,
Lafayette,,,Grass,9,9,2023,Sat,18,Home,W,42,7,35,17481,0.44,0.993,TRUE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Extra_Point,6,,,,6,100,,,,,,,
Northwestern,0.8,-8.2,Grass,9,16,2023,Sat,15.5,Home,W,38,14,24,18141,0.45,0.698,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Extra_Point,5,,,,5,100,,,,,,,
Connecticut,-15.9,-24.9,Grass,9,23,2023,Sat,15.5,Away,W,41,7,34,29033,0.73,0.928,TRUE,TRUE,FALSE,FALSE,CBSSN,East Hartford,CT,FALSE,FALSE,Extra_Point,5,,,,5,100,,,,,,,
Notre Dame,20.7,11.7,Grass,9,30,2023,Sat,19.5,Home,L,14,21,-7,40768,1,0.3,FALSE,TRUE,FALSE,FALSE,ABC,Durham,NC,FALSE,FALSE,Extra_Point,2,,,,2,100,,,,,,,
North Carolina St.,6.9,-2.1,Grass,10,14,2023,Sat,20,Home,W,24,3,21,31833,0.8,0.774,TRUE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Extra_Point,3,,,,3,100,,,,,,,
Florida St.,19.8,10.8,Grass,10,21,2023,Sat,19.5,Away,L,20,38,-18,79560,1,0.19,FALSE,TRUE,FALSE,FALSE,ABC,Tallahassee,FL,FALSE,FALSE,Extra_Point,2,,,,2,100,,,,,,,
Louisville,11.4,2.4,Turf,10,28,2023,Sat,15.5,Away,L,0,23,-23,52319,0.87,0.482,TRUE,TRUE,FALSE,FALSE,ESPN,Louisville,KY,FALSE,FALSE,Extra_Point,0,,,,0,,,,,,,,
Wake Forest,-1.7,-10.7,Grass,11,2,2023,Thu,19.5,Home,W,24,21,3,18277,0.46,0.812,FALSE,FALSE,FALSE,FALSE,ESPN,Durham,NC,FALSE,FALSE,Extra_Point,3,,,,3,100,,,,,,,
North Carolina,10.2,1.2,Turf,11,11,2023,Sat,20,Away,L,45,47,-2,50500,0.99,0.36,FALSE,FALSE,FALSE,FALSE,ACCN,Chapel Hill,NC,FALSE,TRUE,Extra_Point,4,,,,4,100,,,,,,,
Virginia,-5.3,-14.3,Grass,11,18,2023,Sat,15,Away,L,27,30,-3,36400,0.59,0.798,FALSE,FALSE,FALSE,FALSE,CW,Charlottesville,VA,FALSE,FALSE,Extra_Point,3,,,,3,100,,,,,,,
Pittsburgh,-0.5,-9.5,Grass,11,25,2023,Sat,12,Home,W,30,19,11,17639,0.44,0.788,FALSE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Extra_Point,3,,,,3,100,,,,,,,
Troy,5.9,-3.1,Turf,12,23,2023,Sat,11,Neutral,W,17,10,7,20023,0.43,0.565,FALSE,FALSE,TRUE,FALSE,ABC,Birmingham,AL,TRUE,FALSE,Extra_Point,0,,,,0,,,,,,,,
Temple,-11.8,-17.1,Grass,9,2,2022,Fri,19.5,Home,W,30,0,30,20722,0.52,0.771,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Extra_Point,3,,,,3,100,,,,,,,
Northwestern,-7.6,-12.9,Grass,9,10,2022,Sat,12,Away,W,31,23,8,24622,0.52,0.313,FALSE,TRUE,FALSE,FALSE,FS1,Evanston,IL,FALSE,FALSE,Extra_Point,4,,,,4,100,,,,,,,
N.C. A&T,,-5.3,Grass,9,17,2022,Sat,18,Home,W,49,20,29,32802,0.82,,FALSE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Extra_Point,7,,,,7,100,,,,,,,
Kansas,3.4,-1.9,Turf,9,24,2022,Sat,12,Away,L,27,35,-8,47233,1,0.258,FALSE,TRUE,FALSE,FALSE,FS1,Lawrence,KS,FALSE,FALSE,Extra_Point,3,,,,3,100,,,,,,,
Virginia,-4,-9.3,Grass,10,1,2022,Sat,19.5,Home,W,38,17,21,15152,0.38,0.572,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Extra_Point,5,,,,5,100,,,,,,,
Georgia Tech,-3.5,-8.8,Grass,10,8,2022,Sat,16,Away,L,20,23,-3,32041,0.58,0.542,FALSE,TRUE,TRUE,FALSE,ESPN3,Atlanta,GA,FALSE,FALSE,Extra_Point,2,,,,2,100,,,,,,,
North Carolina,6.2,0.9,Grass,10,15,2022,Sat,20,Home,L,35,38,-3,40004,1,0.336,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,TRUE,Extra_Point,5,,,,5,100,,,,,,,
Miami (Fla.),-0.5,-5.8,Grass,10,22,2022,Sat,12.5,Away,W,45,21,24,57421,0.88,0.244,FALSE,TRUE,FALSE,FALSE,ESPN3,Miami Gardens,FL,FALSE,FALSE,Extra_Point,6,,,,6,100,,,,,,,
Boston College,-7.4,-12.7,Turf,11,4,2022,Fri,19,Away,W,38,31,7,34092,0.77,0.752,FALSE,TRUE,FALSE,FALSE,ESPN2,Chestnut Hill,MA,FALSE,FALSE,Extra_Point,5,,,,5,100,,,,,,,
Virginia Tech,-6.2,-11.5,Grass,11,12,2022,Sat,12,Home,W,24,7,17,20857,0.52,0.795,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Extra_Point,3,,,,3,100,,,,,,,
Pittsburgh,7.9,2.6,Grass,11,19,2022,Sat,12,Away,L,26,28,-2,45362,0.66,0.299,FALSE,TRUE,FALSE,FALSE,ACCN,Pittsburgh,PA,FALSE,FALSE,Extra_Point,2,,,,2,100,,,,,,,
