Year,School,Coach,NewCoach,numGames,numHome,numWins,numLosses,overallPct,winningSeason,overallPct_prevYear,pointsScoredAvg,pointsAllowedAvg,pointDiffAvg,pointDiffAvg_prevYear,confPct,homePct,roadPct,neutralPct,bowlGame,bowlGame_prevYear,wonBowl_prevYear,confChampionshipGame,SOR_rank,SOR_rank_prevYear,FPI_rank,SOS_rank,GC_rank,AVGWP_rank,GC_rank_prevYear,AVGWP_rank_prevYear,AP_ranked,AP_ranked_prevYear,avgHeight,avgWeight,numPositions,numC,numCB,numDB,numDE,numDL,numDT,numK,numLB,numLS,numOG,numOL,numOT,numP,numQB,numRB,numS,numTE,numWR,numOffense,numDefense,numFreshmen,numSophomores,numJuniors,numSeniors,numPlayers,class_natlRank,class_confRank,class_score,transfer_natlRank,transfer_score,numGrad,numRedshirtFreshmen,numRedshirtSophomores,numRedshirtJuniors,numRedshirtSeniors,numRedshirting,3rd Down Conversion Pct_Natl_Rank,3rd Down Conversion Pct_Conf_Rank,3rd Down Conversion Pct_Value,3rd Down Conversion Pct Defense_Natl_Rank,3rd Down Conversion Pct Defense_Conf_Rank,3rd Down Conversion Pct Defense_Value,4th Down Conversion Pct_Natl_Rank,4th Down Conversion Pct_Conf_Rank,4th Down Conversion Pct_Value,4th Down Conversion Pct Defense_Natl_Rank,4th Down Conversion Pct Defense_Conf_Rank,4th Down Conversion Pct Defense_Value,Blocked Kicks_Natl_Rank,Blocked Kicks_Conf_Rank,Blocked Kicks_Value,Blocked Kicks Allowed_Natl_Rank,Blocked Kicks Allowed_Conf_Rank,Blocked Kicks Allowed_Value,Blocked Punts_Natl_Rank,Blocked Punts_Conf_Rank,Blocked Punts_Value,Blocked Punts Allowed_Natl_Rank,Blocked Punts Allowed_Conf_Rank,Blocked Punts Allowed_Value,Completion Percentage_Natl_Rank,Completion Percentage_Conf_Rank,Completion Percentage_Value,Defensive TDs_Natl_Rank,Defensive TDs_Conf_Rank,Defensive TDs_Value,Fewest Penalties_Natl_Rank,Fewest Penalties_Conf_Rank,Fewest Penalties_Value,Fewest Penalties Per Game_Natl_Rank,Fewest Penalties Per Game_Conf_Rank,Fewest Penalties Per Game_Value,Fewest Penalty Yards_Natl_Rank,Fewest Penalty Yards_Conf_Rank,Fewest Penalty Yards_Value,Fewest Penalty Yards Per Game_Natl_Rank,Fewest Penalty Yards Per Game_Conf_Rank,Fewest Penalty Yards Per Game_Value,First Downs Defense_Natl_Rank,First Downs Defense_Conf_Rank,First Downs Defense_Value,First Downs Offense_Natl_Rank,First Downs Offense_Conf_Rank,First Downs Offense_Value,Fumbles Lost_Natl_Rank,Fumbles Lost_Conf_Rank,Fumbles Lost_Value,Fumbles Recovered_Natl_Rank,Fumbles Recovered_Conf_Rank,Fumbles Recovered_Value,Kickoff Return Defense_Natl_Rank,Kickoff Return Defense_Conf_Rank,Kickoff Return Defense_Value,Kickoff Returns_Natl_Rank,Kickoff Returns_Conf_Rank,Kickoff Returns_Value,Net Punting_Natl_Rank,Net Punting_Conf_Rank,Net Punting_Value,Passes Had Intercepted_Natl_Rank,Passes Had Intercepted_Conf_Rank,Passes Had Intercepted_Value,Passes Intercepted_Natl_Rank,Passes Intercepted_Conf_Rank,Passes Intercepted_Value,Passing Offense_Natl_Rank,Passing Offense_Conf_Rank,Passing Offense_Value,Passing Yards Allowed_Natl_Rank,Passing Yards Allowed_Conf_Rank,Passing Yards Allowed_Value,Passing Yards per Completion_Natl_Rank,Passing Yards per Completion_Conf_Rank,Passing Yards per Completion_Value,Punt Return Defense_Natl_Rank,Punt Return Defense_Conf_Rank,Punt Return Defense_Value,Punt Returns_Natl_Rank,Punt Returns_Conf_Rank,Punt Returns_Value,Red Zone Defense_Natl_Rank,Red Zone Defense_Conf_Rank,Red Zone Defense_Value,Red Zone Offense_Natl_Rank,Red Zone Offense_Conf_Rank,Red Zone Offense_Value,Rushing Defense_Natl_Rank,Rushing Defense_Conf_Rank,Rushing Defense_Value,Rushing Offense_Natl_Rank,Rushing Offense_Conf_Rank,Rushing Offense_Value,Sacks Allowed_Natl_Rank,Sacks Allowed_Conf_Rank,Sacks Allowed_Value,Scoring Defense_Natl_Rank,Scoring Defense_Conf_Rank,Scoring Defense_Value,Scoring Offense_Natl_Rank,Scoring Offense_Conf_Rank,Scoring Offense_Value,Tackles for Loss Allowed_Natl_Rank,Tackles for Loss Allowed_Conf_Rank,Tackles for Loss Allowed_Value,Team Passing Efficiency_Natl_Rank,Team Passing Efficiency_Conf_Rank,Team Passing Efficiency_Value,Team Passing Efficiency Defense_Natl_Rank,Team Passing Efficiency Defense_Conf_Rank,Team Passing Efficiency Defense_Value,Team Sacks_Natl_Rank,Team Sacks_Conf_Rank,Team Sacks_Value,Team Tackles for Loss_Natl_Rank,Team Tackles for Loss_Conf_Rank,Team Tackles for Loss_Value,Time of Possession_Natl_Rank,Time of Possession_Conf_Rank,Time of Possession_Value,Total Defense_Natl_Rank,Total Defense_Conf_Rank,Total Defense_Value,Total Offense_Natl_Rank,Total Offense_Conf_Rank,Total Offense_Value,Turnover Margin_Natl_Rank,Turnover Margin_Conf_Rank,Turnover Margin_Value,Turnovers Gained_Natl_Rank,Turnovers Gained_Conf_Rank,Turnovers Gained_Value,Turnovers Lost_Natl_Rank,Turnovers Lost_Conf_Rank,Turnovers Lost_Value
2023,Duke,Elko,0,13,7,8,5,0.615385,1,0.692308,26.923077,18.230769,8.692308,11.769231,0.500000,0.857143,0.200000,1.000,1,1,1,0,35,41,29,49,29,39,36,23,0,0,6.141891892,227.4774775,15,0,10,0,10,0,8,2,11,3,0,16,0,1,4,7,11,6,18,51,50,31,8,9,15,111,60,10,85.07,58,32.96,24,12,6,3,3,0,88,9,0.368,57,8,0.383,37,3,0.6,16,1,0.393,10,2,3,1,1,0,0,0,0,1,1,0,108,13,0.56,29,3,2,53,4,73,48,5,5.62,40,4,583,37,4,44.85,88,11,264,78,10,244,56,7,7,95,14,5,71,4,20.11,47,8,21.13,2,1,43.51,30,3,8,65,7,10,110,13,180.8,41,5,210.8,79,10,11.76,14,1,3,57,8,9.31,10,2,0.744,56,5,0.86,45,5,141.9,56,9,167.2,24,3,1.31,16,1,19,66,8,26.9,31,2,4.77,105,13,119.8,26,4,121.45,56,8,2.23,31,6,6.2,92,10,29:00:00,41,7,352.7,94,11,348.1,66,8,0,97,13,15,33,2,15
2022,Duke,Elko,1,13,6,9,4,0.692308,1,0.250000,32.846154,21.076923,11.769231,-16.916667,0.625000,0.833333,0.500000,1.000,1,0,0,0,41,109,45,89,36,23,111,115,0,0,6.135885886,227.0630631,13,0,0,20,10,0,7,3,11,5,0,16,0,2,4,8,0,8,16,52,48,24,11,16,10,111,57,10,85.12,51,186.78,17,11,5,14,3,0,38,5,0.424,109,14,0.43,43,2,0.56,26,5,0.423,36,4,2,1,1,0,14,1,2,1,1,0,41,3,0.638,33,4,2,34,2,68,30,2,5.23,57,6,657,55,4,50.54,80,12,270,45,5,283,9,1,4,1,1,16,21,2,17.19,52,11,20.81,29,3,40.22,12,1,6,67,7,10,67,8,231.5,104,12,257.3,76,8,11.8,37,5,5.69,1,1,19.92,98,12,0.878,78,8,0.821,25,4,121.2,39,3,184.2,27,1,1.31,31,5,22.1,31,5,32.8,8,1,3.92,48,5,140.46,82,11,134.73,22,7,2.77,79,12,5.4,10,2,32:52:00,67,11,378.5,43,4,415.7,2,1,1.23,9,2,26,5,1,10
2021,Duke,Cutcliffe,0,12,7,3,9,0.250000,0,0.181818,22.833333,39.750000,-16.916667,-13.272727,0.000000,0.428571,0.000000,,0,0,0,0,109,110,113,77,111,115,101,104,0,0,6.17699115,225.9469027,15,5,10,0,9,0,7,3,9,5,6,0,7,2,6,9,13,7,15,55,48,24,20,11,5,113,55,12,83.69,87,15.47,18,4,16,10,5,0,45,5,0.424,125,14,0.48,112,13,0.379,118,14,0.692,67,5,1,1,1,0,32,3,1,1,1,0,31,3,0.646,0,0,0,68,5,78,77,8,6.5,84,9,740,100,9,61.67,112,11,289,61,7,267,122,14,12,76,8,6,7,1,15.16,35,7,23.14,52,5,40.18,40,6,9,93,10,8,64,7,237.9,129,14,311.8,115,14,10.77,75,6,8.5,58,9,8.47,123,13,0.927,123,14,0.721,117,13,206.2,50,5,179.7,66,5,2.25,127,14,39.8,102,14,22.8,116,13,7.08,95,11,125.98,123,13,159.22,96,11,1.75,97,12,4.8,84,9,29:19:00,130,14,517.9,54,7,417.6,108,12,-0.58,95,10,14,99,14,21
2020,Duke,Cutcliffe,0,11,5,2,9,0.181818,0,0.416667,24.818182,38.090909,-13.272727,-3.916667,0.100000,0.200000,0.166667,,0,0,0,0,110,69,99,44,101,104,65,89,0,0,6.206270627,231.4356436,15,5,6,0,7,0,7,3,9,3,7,0,6,2,7,6,10,9,14,54,39,24,12,6,15,101,57,10,83.75,,,0,15,13,12,4,0,74,10,0.387,74,10,0.413,87,12,0.478,101,13,0.667,7,2,3,53,4,1,1,1,3,85,8,1,101,12,0.563,21,4,2,87,5,62,50,6,5.64,90,5,562,61,6,51.09,111,10,247,27,8,238,127,15,20,6,3,11,78,9,21.92,62,11,20.11,21,7,41.19,127,15,19,35,8,9,70,11,222.6,63,4,231.6,91,14,11.13,8,1,0.75,35,5,9.44,65,9,0.841,78,11,0.8,108,15,213.2,72,10,156.7,114,14,3.36,115,15,38.1,91,13,24.8,107,11,7.36,116,13,108.44,83,13,141.01,26,6,2.82,43,9,6.6,96,11,28:34:00,98,11,444.8,80,14,379.4,125,15,-1.73,13,4,20,127,15,39
2019,Duke,Cutcliffe,0,12,6,5,7,0.416667,0,0.615385,25.250000,29.166667,-3.916667,2.000000,0.375000,0.500000,0.400000,0.000,0,1,1,0,69,35,64,48,65,89,34,48,0,0,6.172067901,229.8148148,15,3,7,0,10,0,8,5,9,3,5,0,12,3,7,8,10,7,11,53,44,28,7,15,9,108,48,9,84.8,,,0,13,13,17,6,0,115,12,0.332,43,7,0.372,30,4,0.606,65,6,0.524,31,3,2,30,6,1,6,1,2,78,9,1,95,11,0.563,0,0,0,22,3,63,31,5,5.25,21,4,544,27,5,45.33,25,3,232,108,13,224,127,13,14,59,8,8,56,4,20.29,14,4,24.95,26,4,40.37,108,13,14,76,9,9,110,12,179.3,24,3,199,125,14,10.1,96,10,9.65,32,4,11,76,11,0.844,20,2,0.906,87,10,180.6,79,10,150.3,86,7,2.33,77,9,29.2,94,11,25.3,25,2,4.92,115,12,112.48,40,5,123.77,18,6,2.92,31,8,6.7,89,11,29:01:00,56,7,379.6,114,13,329.7,123,13,-0.92,74,10,17,127,14,28
2018,Duke,Cutcliffe,0,13,6,8,5,0.615385,1,0.538462,29.384615,27.384615,2.000000,6.307692,0.375000,0.500000,0.666667,1.000,1,1,1,0,35,50,43,42,34,48,57,74,0,0,6.153549383,226.7592593,18,3,7,0,7,0,9,5,10,3,6,2,6,1,6,9,11,7,14,53,44,22,17,11,6,108,53,11,84.57,,,0,13,17,12,10,0,37,5,0.424,77,8,0.4,107,13,0.429,28,5,0.44,19,2,3,56,9,2,0,0,0,56,8,1,81,6,0.584,0,0,0,7,2,54,6,2,4.15,3,1,452,3,1,34.77,84,11,272,68,8,267,81,7,10,48,7,9,44,3,19.65,85,13,19.46,99,11,36.04,53,6,10,126,14,4,52,7,246.1,36,4,199.5,99,12,11.51,71,7,8.69,101,14,5.71,66,9,0.829,56,7,0.851,105,11,209.3,77,11,159.6,73,8,2.31,72,7,27.4,63,8,29.4,44,4,5.62,74,6,132.15,33,5,118.4,88,11,1.85,67,10,5.8,109,12,27:49:00,77,8,408.8,65,8,405.7,109,11,-0.54,114,13,13,79,10,20
2017,Duke,Cutcliffe,0,13,7,7,6,0.538462,1,0.333333,26.538462,20.230769,6.307692,-4.833333,0.375000,0.571429,0.400000,1.000,1,0,0,0,50,74,37,46,57,74,63,100,0,0,6.14953271,227.5233645,17,3,8,0,8,0,9,5,9,4,7,0,7,0,5,8,10,6,11,47,44,29,14,8,7,107,40,8,85.12,,,0,14,12,14,9,0,74,8,0.392,16,5,0.32,27,5,0.63,2,1,0.222,31,5,2,97,9,3,0,0,0,71,5,1,84,10,0.567,8,2,4,24,5,62,22,5,4.77,28,4,541,26,4,41.62,14,4,212,26,4,299,43,5,7,120,12,4,36,3,19.38,24,5,23.27,116,14,35.37,78,9,12,23,3,15,79,11,213.4,16,3,179.4,125,14,10.43,66,6,7.15,96,12,5.63,71,9,0.84,76,8,0.83,48,7,153.2,56,8,171.4,75,7,2.23,21,3,20.2,80,10,26.5,103,12,6.69,113,13,112.54,25,5,116.88,51,5,2.23,40,6,6.6,30,5,31:22:00,21,4,332.6,88,10,384.8,64,8,0,60,7,19,61,8,19
2016,Duke,Cutcliffe,0,12,6,4,8,0.333333,0,0.615385,23.333333,28.166667,-4.833333,6.153846,0.125000,0.500000,0.166667,,0,1,1,0,74,56,65,13,63,100,61,51,0,0,6.139967638,223.7378641,17,4,7,0,10,0,7,2,9,4,7,0,6,1,4,10,12,5,12,48,45,26,9,8,9,103,32,5,86.56,,,0,13,13,12,13,0,42,6,0.43,66,9,0.397,112,14,0.375,4,1,0.25,0,0,0,57,4,2,0,0,0,70,8,1,23,4,0.625,0,0,0,19,3,62,34,4,5.17,10,1,485,13,3,40.42,11,2,216,77,10,258,119,12,14,54,8,9,25,4,18.67,12,3,24.55,104,11,35.44,37,7,9,68,8,10,60,9,239.8,78,10,239.8,124,14,10.39,89,11,9.38,56,8,8.33,46,8,0.811,93,12,0.805,66,11,174.9,89,8,153.6,96,9,2.58,66,11,28.2,110,11,23.3,78,8,6.08,75,11,126.43,110,13,145.33,37,8,2.42,38,10,6.6,35,4,31:25:00,67,11,414.7,76,10,393.3,93,12,-0.33,67,8,19,94,10,23
